Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Non-IT Mechanical Jobs (Urgent Hiring),Owfis Jobpe Technologies,"Hyderabad, Telangana(Madhapur), Bengaluru, Karnataka, Delhi / NCR",0-5 Yrs,"['Building', 'Mechanical Electrical Plumbing', 'Plumbing', 'Construction', 'Mechanical', 'Facade', 'Glass', 'Iron']"
Graduate Engineer Trainee,Ericsson,Bangalore/Bengaluru,0-1 Yrs,"['Telecom', 'Automation', '3G', 'Analytical', 'Telecommunication', 'Troubleshooting', 'Auditing', 'Python']"
Internship Trainee - Engineering- Fresh Graduates,Biocon Biologics,Bengaluru(Bande Bommasandra),0-0 Yrs,"['Electrical Maintenance', 'Instrumentation', 'Mechanical Engineering', 'Electrical Engineering', 'Engineering', 'Maintenance', 'Training', 'Instruments']"
BIM Electrical Engineer,Arcadis Consulting India Pvt. Ltd,"Hyderabad/Secunderabad, Bangalore/Bengaluru",5-8 Yrs,"['Electrical design', 'AutoCAD', 'Analytical', 'Power distribution', 'Report writing', 'Waste water treatment', 'Bim', 'Consultancy']"
Electrical Schematics/Wiring Engineer,Leading Client,"Hyderabad/Secunderabad, Bangalore/Bengaluru",4-8 Yrs,"['Power Systems', 'Electrical engineering', 'Electrical design', 'SAP', 'Concept design', 'Electrical Designs', 'System', 'Engineering']"
PPC Manager | Lightning Industry | Lower Parel,Zed O Click,"Hyderabad, Telangana, Pune, Maharashtra, Mumbai (All Areas)",10-12 Yrs,"['Production Planning', 'Led Lighting', 'Production Planning Control', 'Lighting', 'Production Scheduling', 'Material Planning', 'Shift Planning', 'PPC']"
Offshore Structural Designer,Tekskills,"Hyderabad, Pune, Mumbai (All Areas)",5-10 Yrs,"['Offshore Structural Designer', 'S3D', 'E3D Navis Works software', 'TEKLA', 'Offshore', 'Software', 'Navisworks', 'Structural design']"
Offshore Structural Engineer,Tekskills,"Hyderabad, Telangana, Pune, Maharashtra, Mumbai (All Areas)",5-10 Yrs,"['Offshore Structural Engineer', 'STAAD Pro', 'Navis Works software', 'SACS', 'Software', 'Sac', 'Staad', 'Navisworks']"
Mechanical Diploma AND ITI Design and production engineer (0 To 2 yrs),Creative Solutions,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",0-2 Yrs,"['AutoCAD design and production planning control', 'Production Engineering', 'Production planning', 'AutoCAD', 'ITI', 'Planning', 'Production planning control', 'Engineering']"
Production Support Engineer ( Associate),Deutsche Bank,"Pune, Bangalore/Bengaluru",7-10 Yrs,"['Java', 'Unix', 'Automation', 'Linux', 'Production support', 'Javascript', 'Oracle', 'Troubleshooting']"
Production Support Engineer (Associate),Deutsche Bank,"Pune, Bangalore/Bengaluru",7-10 Yrs,"['Operations Management', 'Unix', 'Unix Shell Scripts', 'Tandem Enscribe', 'Global Transaction Banking', 'ITIL', 'data analytics tools', 'Remedy']"
Embedded Kernel Developer,HARMAN,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bengaluru, Karnataka",4-9 Yrs,"['Device Drivers', 'Embedded Linux', 'Kernel Programming', 'Bootloader', 'Board Bringup', 'Linux Kernel', 'Board Support Package', 'Bsp']"
"Service Engineer(Hyderabad, Pune, Muzaffarpur, Rourkela)",Videojet Technologies,"Hybrid - Rourkela, Odisha, Hyderabad, Telangana, Pune, Maharashtra",2-7 Yrs,"['Maintenance', 'Servicing', 'Printing', 'Installation', 'EEE', 'Electronics Engineering', 'Instrumentation Engineering', 'Packaging Machines']"
GE Aerospace Drive Mech/ Prod/ Auto @Keys Hotel by Lemon Tree,GE,,,"['Automobile Engineering', 'Production Engineering', 'Mechanical Engineering', 'Engineering', 'Automobile', 'Prod', 'Auto', 'Aerospace']"
Diploma Apprentice Drive @Keys Hotel Pimpri by GE Aerospace,GE,,,"['Automobile Engineering', 'Production Engineering', 'Mechanical Engineering', 'Aerospace', 'Engineering', 'Automobile', 'Production', 'Hotel']"
Ge Aerospace is Conducting Diploma Drive @Keys Hotel by Lemon Tree,GE,,,"['Automobile Engineering', 'Production Engineering', 'Mechanical Engineering', 'Conducting', 'Production', 'Aerospace', 'Hotel', 'Mechanical']"
Ge Aerospace Drive Mech/ Prod/ Auto @ Pimpri Chinchwad College,GE,,,"['Automobile Engineering', 'Production Engineering', 'Mechanical Engineering', 'Automobile', 'Production', 'Drives', 'Aerospace', 'Engineering']"
Diploma Apprentice Drive @Pimpri Chinchwad College by GE,GE,,,"['Automobile Engineering', 'Production Engineering', 'Mechanical Engineering', 'Production', 'Mechanical', 'Drives', 'Engineering', 'Automobile']"
GE Aerospace is Conducting Diploma Drive @Pimpri Chinchwad College,GE,,,"['Automobile Engineering', 'Production Engineering', 'Mechanical Engineering', 'Engineering', 'Conducting', 'Automobile', 'Aerospace', 'Mechanical']"
Graduate Engineer - M.Tech Structural Engineering,Atkinsréalis,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru",3-7 Yrs,"['ETABS', 'Design engineering', 'Basic', 'AutoCAD', 'Analytical', 'Design calculations', 'Consultancy', 'Staad Pro']"
Graduate Structural Engineer,Atkinsréalis,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru",4-8 Yrs,"['ETABS', 'Design engineering', 'AutoCAD', 'Analytical', 'Design calculations', 'Consultancy', 'Staad Pro', 'Structural engineering']"
Graduate Engineer - M.Tech Transportation Highways / Planner,Atkinsréalis,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru",4-8 Yrs,"['Training', 'Consultancy', 'Microstation', 'AutoCAD 3D', 'MS Office', 'Civil 3D', 'AutoCAD', 'Civil']"
Female Diploma Engineer Trainee,Schindler,"Mumbai Suburban, Maharashtra, Thane, Maharashtra, Navi Mumbai, Maharashtra",0-4 Yrs,"['diploma', 'diploma electrical', 'Civil', 'Mechanical', 'Electronics', 'Electricals', 'Training', 'Electrical Equipment']"
Civil Engineer,Bhadani Quantity Surveyors And Training,"Kolkata, West Bengal, Mumbai, Maharashtra, Hyderabad, Telangana",0-5 Yrs,"['Civil Engineering', 'Quantity Surveying', 'Civil Site Engineering', 'Quantity Estimation', 'Billing Engineering', 'QS', 'Bar Bending Schedule', 'Boq']"
