Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Physical Education Teacher,The Sports Gurukul,"Hybrid - Tirupati, Andhra Pradesh, Hyderabad/Secunderabad, Gurgaon/ Gurugram, Haryana, Chennai, Jaipur, Rajasthan, Bangalore/Bengaluru, Mumbai (All Areas)",0-1 Yrs,"['Good in English Communication', 'Presentation Skills', 'Coaching', 'Physical Education', 'Teaching', 'Communication skills', 'English', 'Physical']"
Education Counsellor,MIT,Pune,0-5 Yrs,"['Inbound Process', 'Bpo Customer Service', 'Voice Support', 'Bpo Voice', 'Customer Care', 'BPO', 'Inbound Sales', 'Telesales']"
"Admission Counsellor, Education Counsellor, Career Counsellor",Chennais Amirta International Institute Of Hotel Management,,,"['Admission Counselling', 'Student Counseling', 'Educational Sales', 'Admissions', 'Education Counseling', 'Career Counselling', 'Overseas Education', 'Sales']"
Education Counsellor,Aakarsh Career Institute,"Pune, Maharashtra",1-6 Yrs,"['Jee Technologies', 'Sales And Marketing', 'Education Counseling', 'Business Development Management', 'Career Counselling', 'Educational Marketing', 'Sales', 'Management']"
Sales Advisor (Education Counselor) - Mumbai,Sharekhan,"Mumbai Suburban, Maharashtra",2-7 Yrs,"['Outbound Sales', 'Upselling', 'Sales', 'B2C Sales', 'Telecalling', 'Counselling', 'Outbound Calling', 'Outbound']"
Education Counsellor || @Delhi and Noida,Envision Consultancy,"Noida, Uttar Pradesh, Delhi / NCR",0-5 Yrs,"['Bde', 'Inside Sales', 'Educational Sales', 'Lead Generation', 'Cold Calling', 'Upsell', 'Inbound Sales', 'B2C Sales']"
Physical Education Teacher,Educohire,Aurangabad,2-5 Yrs,"['Training', 'Interpersonal skills', 'Healthcare', 'Physical education', 'Monitoring', 'Interpersonal', 'Physical', 'Interpersonal Skill']"
Education Counselor,Manadesham Educational Services Pvt.ltd.,Hyderabad,0-3 Yrs,"['POP', 'Head Business Development', 'Consultancy', 'Education Counsellor', 'Monitoring', 'Education counseling', 'Counselling', 'Education']"
Education Counselor,Tomorrows Genius,"Mumbai, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",0-1 Yrs,"['Cold calling', 'Sales', 'Database', 'Sales process', 'Sales Executive', 'Education Counsellor', 'Budgeting', 'Management']"
Admission / Education Counsellor - Inside Sales For Bangalore,Henry Harvin Education,Bangalore/Bengaluru(Koramangala),1-5 Yrs,"['Admission Counselling', 'Target Achievement', 'Negotiation', 'marketing strategy', 'Time Management', 'B2C Sales', 'Convincing Power', 'Education Counseling']"
"Education Counsellor, Academic Coordinator, NSP, Pitampura",The Hr Bulb,"New Delhi, Delhi(Netaji Subhash Place)",0-5 Yrs,"['client servicing', 'education counseling', 'Admission Counselling', 'client success', 'Edtech', 'Career Counselling', 'Educational Marketing', 'Student Counseling']"
Education Counselor (Overseas),Leedz Academy,Thrissur,0-3 Yrs,"['Lead generation', 'Sales', 'Query resolution', 'TOEFL', 'Educational administration', 'Overseas education', 'Management', 'Education Counsellor']"
Student Counsellor - Education Sector,Core Connect Hr Consultants,"Hyderabad, Telangana, Bangalore Rural, Karnataka, Ahmedabad, Gujarat",1-6 Yrs,"['student counselor', 'Student Counseling', 'Admission Counselling', 'Education Counseling', 'Career Counselling', 'Admissions', 'Education', 'Career development']"
Special Education Teacher,Manasa Institute,Hyderabad/Secunderabad,0-4 Yrs,"['C', 'Teaching', 'Special Education', 'Education']"
Education Counsellor,Indian School Of Business Management And Administration,"Chandigarh, Pune, Delhi / NCR",0-3 Yrs,"['counseling', 'Admission Counselling', 'Data Calling', 'education counseling', 'Career Counselling', 'Overseas Education', 'communication skills', 'Education']"
Education Counsellor,Gauranga Consultancy,"New Delhi, Uttam Nagar",0-1 Yrs,"['Education Counselling', 'cold calling', 'lead generation', 'Education counsellor', 'business development', 'admission counselling', 'sales', 'Generation']"
Education Counsellor,Indian School Of Business Management And Administration,"Kochi, Kerala",0-3 Yrs,"['Telesales', 'Admission Counselling', 'Student Counseling', 'Outbound Sales', 'Cold Calling', 'Inside Sales', 'Telemarketing', 'Career Counselling']"
Education Counsellor,Indian School Of Business Management And Administration,"Vasai, Maharashtra, Virar, Maharashtra, Bhayandar, Maharashtra",0-2 Yrs,"['Admission Counselling', 'Sales Lead Generation', 'Overseas Education', 'Student Counseling', 'Immigration', 'Education Counseling', 'Career Counselling', 'Career development']"
Education Counsellor,Indian School Of Business Management And Administration,"Chandigarh, Chandigarh",0-2 Yrs,"['Outbound Sales', 'Admission Counselling', 'Inbound Sales', 'Telesales', 'Admission Counsellor', 'Education Counseling', 'Telemarketing', 'Career Counselling']"
