Job_Title,Company_name,Job_skills,Job_location,Company_Experience
Territory business executive,Novartis,"['Sales planning', 'Cardiovascular', 'Pharma', 'Relationship building', 'Diversity and Inclusion', 'Healthcare', 'Customer relationship', 'Representative']",Hyderabad/Secunderabad,2-3 Yrs
Clinical Business Executive -similar To that of Medical Representative,Nestle,"['Medical Representative', 'Pharma Selling', 'Healthcare Sales', 'Therapy', 'Medical Rep', 'Nutrition', 'Prescription Generation', 'Medical Sales']","Tamil Nadu,, Kerala,",2-7 Yrs
B Pharma/  BSC Nursing / BSC Medical / BPT/ BHMS / BAMS /BDS,Health Care Ltd,"['Biotechnology', 'Medical', 'Life Sciences', 'Bds', 'Microbiology', 'Molecular Biology', 'Zoology', 'Bpt']","Mohali, Punjab",0-1 Yrs
Medical Sales Representative - Ayurvedic,Ways & Work Consulting Llp,"['Medical Sales', 'MR', 'Pharmaceutical Sales', 'Medical Sales Representative', 'Pharma Selling', 'Healthcare Sales', 'Ayurvedic Sales', 'Ayurveda']","Hybrid - New Delhi, Ahmedabad, Mumbai (All Areas)",1-4 Yrs
Medical Coder Trainee,UG Training Academy,"['Life Science', 'Biotechnology', 'MBBS', 'BYNS', 'Microbiology', 'Zoology', 'GNM', 'BPT']","Hyderabad/Secunderabad, Chennai, Tamil Nadu, Bangalore/Bengaluru",0-1 Yrs
Business Development Executive/ Business Development Officer,Lactose India Limited,"['pharma api', 'B2B Marketing', 'Direct Marketing', 'Sales And Marketing', 'Corporate Marketing', 'Business Development', 'Active Pharmaceutical Ingredient', 'Pharma Marketing']","Mumbai, Maharashtra",0-5 Yrs
Sales Officer,Tvs Training And Services,"['convincing skills', 'Communication Skills', 'Field Sales', 'Field', 'Sales']","Hyderabad(Begumpet +4), Bengaluru, telengana",0-1 Yrs
Medical Representative,Medley Pharmaceuticals,"['MR', 'SALES', 'Business Development', 'Pharma Marketing', 'Pharmaceutical Sales', 'Marketing', 'Medical', 'Development']",Remote,0-5 Yrs
Medical Representative,Bizelevate Services,"['MR', 'Institutional Sales', 'Crtical Care Sales', 'Medical Representative', 'Pharmaceutical Sales', 'Pharma Selling', 'Medical Rep', 'Critical Care']","Hybrid - Kolkata, West Bengal, Cuttack, Odisha, Jaipur, Rajasthan",0-5 Yrs
Medical Representative - Imphal,Icpa Health Products,"['medical representative', 'IMPHAL', 'pharma sales', 'b.pharm', 'mr', '2021', '2020', 'sales']","Imphal, Manipur",0-3 Yrs
Medical Representative - Jalna,Icpa Health Products,"['medical representative', 'pharma sales', 'b.pharm', 'mr', '2021', '2020', 'jalna', 'sales']","Jalna, Maharashtra",0-3 Yrs
Medical Representative - Jalgoan,Icpa Health Products,"['medical representative', 'pharma sales', 'b.pharm', 'mr', '2021', '2020', 'sales', 'medical rep']","Jalgaon, Maharashtra",0-3 Yrs
Medical Representative - Solapur,Sundyota Numandis Pharmaceuticals,"['pharma', 'medical', 'fso', 'mr', 'business executive', 'pharmaceuticals', 'pso', 'psr']","Solapur, Maharashtra",0-2 Yrs
Banking Jobs - Sales Executive/ Officer and Manager,India's Leading Bank,"['Sales', 'Banking', 'Loans', 'BFSI', 'FMCD', 'FMCG', 'Credit Cards', 'Marketing']","Kota, Rajasthan, Sriganganagar, Rajasthan, Ajmer, Rajasthan",0-5 Yrs
Business Development Manager,HDFC Life,"['Insurance Sales', 'Agency Sales', 'Agency Channel', 'Agency', 'Sales', 'Life Insurance', 'Bfsi Sales', 'Bfsi']","Hyderabad, Telangana(Gachibowli +3)",1-2 Yrs
Therapy Business Manager - Metabolic,Abbott,"['parking', 'Senior management', 'Pharma', 'Finance', 'Corporate', 'Packaging', 'Market research', 'Operations']",Ahmedabad,0-5 Yrs
Business Development Executive,Visualpath,"['Communication Skills', 'Telugu', 'English', 'Management Skills', 'Customer Handling', 'Customer Relationship', 'Presentation Skills', 'Handling']","Hyderabad, Telangana(Ameerpet)",0-1 Yrs
Therapy Business Manager | Gi Prospera,Abbott,"['Pharma', 'Finance', 'Packaging', 'Market research', 'Operations', 'Salesforce', 'Pharmaceutical', 'Therapy']",Remote,0-5 Yrs
Nutrition Officer (Similar To Medical Representative),Nestle,"['nutrition', 'medical representative', 'Pharma Marketing', 'Pharma Selling', 'Nutrition sales', 'pharma sales', 'MR', 'Medical Sales']","Kurnool, Andhra Pradesh",1-5 Yrs
Urgently Hiring- Nutrition Officer (Same as Medical Representative),Nestle,"['nutrition', 'medical representative', 'Pharma Marketing', 'Pharma Selling', 'Nutrition sales', 'pharma sales', 'MR', 'Medical Sales']","Kalyani, West Bengal, Silchar, Assam, Nagaon, Assam",1-6 Yrs
"Marketing Executive,purchase executive",Corey Organics,"['Sales And Marketing', 'Active Pharmaceutical Ingredient', 'Sales Management', 'Domestic Sales', 'API Manufacturing', 'Pharma Marketing', 'Pharmaceutical Sales', 'Sales']",Hyderabad(S.R. Nagar),0-5 Yrs
Hiring Inside Sales Executives / Business Development Managers - IT,Prasoft IT Services Pvt. Ltd.,"['Selling Skills', 'MS Office Tools', 'Business Communication Skills', 'Communication Skills', 'B2B', 'Networking', 'Convincing Power', 'Cold Calling']",,
Medical Sales Representative - Ayurvedic,Ways & Work Consulting Llp,"['Medical Sales', 'MR', 'Pharmaceutical Sales', 'Medical Sales Representative', 'Pharma Selling', 'Healthcare Sales', 'Ayurvedic Sales', 'Ayurveda']","Hybrid - Noida, Uttar Pradesh, Ghaziabad, Uttar Pradesh, Delhi / NCR",1-4 Yrs
Therapy Business Manager - GI Prima,Abbott,"['Pharma', 'Finance', 'Packaging', 'Market research', 'Operations', 'Salesforce', 'GI', 'Pharmaceutical']",Hyderabad/Secunderabad,1-5 Yrs
