Job_Title,Company_name,Job_location,Company_Experience,Job_skills
"Modem Power Software Engineer, Senior","Qualcomm Technologies, Inc",Hyderabad/Secunderabad,0-5 Yrs,"['C++', 'JTAG', 'Linux', 'Staffing', 'Data structures', 'Troubleshooting', 'System analysis', 'Python']"
OCI Cloud Engineer,Betanxt,Bangalore/Bengaluru,4-9 Yrs,"['Cloud computing', 'Change management', 'Infrastructure management', 'Configuration management', 'Disaster recovery', 'Problem management', 'Incident management', 'Oracle']"
Cloud Support Engineer,Amazon Web Services,Bangalore/Bengaluru,2-5 Yrs,"['Cloud computing', 'Automation', 'IIS', 'JBoss', 'Configuration management', 'Troubleshooting', 'Ruby', 'Virtualization']"
Associate Engineer,RSM Delivery Center,"Hyderabad/ Secunderabad, Telangana",0-2 Yrs,"['Cloud Computing', 'Quality Assurance', 'PowerAutomate', 'Big Data', 'Servicenow Development', 'SQL Server', 'Workday', 'Assurance']"
DevOps Lead,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Automation', 'Manager Quality Assurance', 'Linux', 'Networking', 'Configuration management', 'Network security', 'Application development', 'Selenium']"
Azure Devops Lead,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Automation', 'Manager Quality Assurance', 'Linux', 'Networking', 'Configuration management', 'Network security', 'Application development', 'Selenium']"
Associate Cloud Engineer - Google Cloud Platform,Bicsom Technologies,Bangalore/Bengaluru,0-2 Yrs,"['Cloud computing', 'Networking', 'Data management', 'GCP', 'VPN', 'Cloud', 'Troubleshooting', 'Information technology']"
Senior Software Engineer (Asp.net Core Full Stack Developer),Siemens,Bangalore/Bengaluru,0-7 Yrs,"['DTS', 'Front end', 'Consulting', 'Javascript', 'Agile', 'Siemens', 'Manager Technology', 'ASP.Net']"
"Software Engineer, developer / Programmer, 2023 graduate Can also appl",Creative Hands HR,"Kolkata, Mumbai, Maharashtra, Hyderabad/Secunderabad, Ranchi, Jharkhand, Chennai, Bangalore/Bengaluru",0-1 Yrs,"['freshers', 'Software Engineering', 'software developer', 'c++', 'python', 'c', 'dotnet', 'software testing']"
Software Developer/ Engineer,Siemens,Bangalore/Bengaluru,0-3 Yrs,"['Product quality', 'Project development', 'Software design', 'Software configuration management', 'Analytical', 'Consulting', 'Siemens', 'Unit testing']"
Software Developer / Software Engineer,Enormous IT Services Pvt Ltd,Hyderabad,0-1 Yrs,"['C#', 'MSSQL', 'SQL', '.Net', 'ASP.Net', 'Dml', 'SQL Server Development', 'Triggers']"
Software Development Engineer (SDE-1) / Full Stack Developer,One Muthoot,Bangalore/Bengaluru,0-2 Yrs,"['Full Stack Developer', 'Software Development Engineer', 'Development', 'Software engineering', 'Stack', 'Software', 'Software development', 'Full Stack']"
Web / Application Developer,Embedded Designs Services India,Hyderabad/Secunderabad,0-3 Yrs,"['Cloud computing', 'Application design', 'Application programming', 'Analytical', 'Web application', 'MySQL', 'PHP', 'Data analytics']"
"Aws DevOps Engineer with Cloud Formation, Python",Capgemini,"Hybrid - Hyderabad, Pune, Maharashtra, Bengaluru",7-12 Yrs,"['Terraform', 'CloudFormation', 'AWS', 'Lambda', 'Python', 'Containers Services', 'Bash Scripting', 'Bash scripts']"
Cloud Architect (Azure),Zelis,Hyderabad,0-3 Yrs,"['financial analysis', 'kubernetes', 'process', 'components', 'analytical', 'code development', 'consulting', 'presentation skills']"
DevOps Engineering - Lead Engineer,Fico,Bangalore/Bengaluru,7-11 Yrs,"['Product management', 'Cloud computing', 'Change management', 'Production support', 'Coding', 'Agile', 'Open source', 'Analytics']"
Cloud Engineer,Techolution,Hyderabad/Secunderabad,2-5 Yrs,"['Process automation', 'Cloud computing', 'Version control', 'Linux', 'Artificial Intelligence', 'Debugging', 'Consulting', 'Troubleshooting']"
LEAD ENGINEER - AZURE CLOUD INFRASTRUCTURE ADMINISTRATION,Carrier,Hyderabad/Secunderabad,8-14 Yrs,"['Cloud computing', 'Administration Manager', 'Automation', 'Networking', 'Windows', 'Troubleshooting', 'Monitoring', 'SDLC']"
Google cloud engineer,Fusion Plus Solutions Inc,Hyderabad/Secunderabad,2-4 Yrs,"['Cloud computing', 'Data analysis', 'GIT', 'Linux', 'Cloud', 'Javascript', 'Infrastructure', 'Monitoring']"
DevOps Cloud Engineer,Cloudjournee,Bengaluru,3-5 Yrs,"['Cloud computing', 'CVS', 'Tomcat', 'JBoss', 'Perl', 'Troubleshooting', 'Apache', 'Ruby']"
Cloud support Engineer,Fusion Plus Solutions Inc,Hyderabad/Secunderabad,2-5 Yrs,"['Cloud computing', 'Web services', 'dynamo db', 'Debugging', 'Cloud', 'DNS', 'network services', 'ITIL process']"
Software Engineer (.Net full stack developer),ESN Technologies India Private Limited,Hyderabad/Secunderabad,4-5 Yrs,"['Cloud computing', 'Front end', 'Javascript', 'Data structures', 'Healthcare', 'Application development', 'MVC', 'Stored procedures']"
Validation Engineer,Avanteva Solutions,Hyderabad/Secunderabad,0-3 Yrs,"['Gamp 5', 'Cloud Computing', 'Risk Assessment', 'Compliance', 'Eu Annex 11', 'Csv', '21Cfr', 'It Quality']"
Sr. Cloud Engineer - AWS,S Quatro Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-5 Yrs,"['Cloud computing', 'Networking', 'Cloud', 'Back office', 'Support services', 'Outsourcing', 'Project delivery', 'AWS']"
Associate Functional Consultant,Highradius,Hyderabad,0-5 Yrs,"['sql queries', 'analytical', 'enterprise applications', 'post sales', 'problem solving', 'functional consultancy', 'functional support', 'sql']"
Cloud Solutions Architect (Azure),Harsco,Hyderabad/Secunderabad,7-13 Yrs,"['Cloud computing', 'Automation', 'Manager Quality Assurance', 'Networking', 'Security management', 'Powershell', 'Analytical', 'microsoft']"
Software Developer Specialist - GCP/Cloud DevOps,Nasdaq,Bangalore/Bengaluru,6-8 Yrs,"['E-learning', 'Cloud computing', 'Web services', 'Active directory', 'DNS', 'Application development', 'MCSE', 'Load balancing']"
Senior Software Engineer,Microsoft,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",8-13 Yrs,"['Cloud computing', 'NoSQL', 'Machine learning', 'Cloud', 'Agile', 'Engineering Manager', 'microsoft', 'Analysis services']"
Engineer - EDGE AI Service,"Qualcomm Technologies, Inc",Hyderabad/Secunderabad,2-4 Yrs,"['Computer science', 'Cloud computing', 'C++', 'Linux', 'Staffing', 'Information security', 'HTTP', 'Middleware']"
"Engineer, Senior - EDGE AI Service","Qualcomm Technologies, Inc",Hyderabad/Secunderabad,3-5 Yrs,"['Computer science', 'Cloud computing', 'C++', 'Linux', 'Staffing', 'Information security', 'HTTP', 'Middleware']"
Software Engineer,Siemens,Hyderabad/Secunderabad,0-5 Yrs,"['Object oriented design', 'Automation', 'Core Java', 'Aerospace', 'Chip design', 'Analytical', 'Healthcare', 'Data structures']"
Senior Cloud Engineer,Nokia,Bangalore/Bengaluru,5-7 Yrs,"['Computer science', 'Analytical', 'Consulting', 'Shell scripting', 'Firmware', 'Troubleshooting', 'SCM', 'Information technology']"
AWS Cloud Native Developer,Freshersworld.com,"Pune, Maharashtra, Gurugram, Haryana, Bengaluru, Karnataka",4-9 Yrs,"['Cloud Formation Aws', 'Terraform', 'Lambda Expressions', 'Aws Cloudformation', 'Api Gateway', 'Subnetting', 'Aws Core Services', 'Amplify']"
Senior Engineer - Cloud ML Framework,"Qualcomm Technologies, Inc",Bangalore/Bengaluru,4-6 Yrs,"['Computer science', 'C++', 'Software design', 'SOC', 'Machine learning', 'Debugging', 'Test design', 'Scheduling']"
Urgent Req: Cloud Engineer- Terraform,Shell Infotech,"Hyderabad, Telangana",7-12 Yrs,"['Automation', 'Terraform', 'PowerShell scripting', 'Powershell', 'Cloud', 'Scripting']"
Senior Cloud Engineer,PwC Service Delivery Center,New Delhi,4-6 Yrs,"['Cloud computing', 'Linux', 'GCP', 'Consulting', 'Agile', 'DNS', 'HTTP', 'Oracle']"
Cloud Engineer,Deutsche Bank,Pune,2-6 Yrs,"['Cloud computing', 'Automation', 'GCP', 'Cloud', 'Banking', 'Agile', 'Operations', 'SDLC']"
Cloud Practice Engineer III - (Azure & Devop),Rackspace Technology,Remote,6-8 Yrs,"['Automation', 'Linux', 'Networking', 'Coding', 'Access management', 'Configuration management', 'HIPAA', 'Troubleshooting']"
Performance & Automation Test Engineer,Siemens,Chennai,0-6 Yrs,"['Cloud computing', 'XML', 'Configuration management', 'Javascript', 'HTML', 'JSON', 'Selenium', 'Virtualization']"
Senior AWS DevOps Engineer,delaPlex,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",7-11 Yrs,"['Cloud computing', 'C++', 'MySQL', 'PHP', 'Perl', 'Windows', 'Outsourcing', 'Unix shell scripting']"
Power BI Developer - Freelancer- Support Engineer,Hatigen,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",7-9 Yrs,"['Cloud computing', 'Data analysis', 'Publishing', 'Machine learning', 'Healthcare', 'Application security', 'Scheduling', 'SSIS']"
Artificial Intelligence Developer -Freelancer- Support Engineer,Hatigen,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",6-8 Yrs,"['Cloud computing', 'Data analysis', 'Consulting', 'Agile', 'Data structures', 'Healthcare', 'Scrum', 'Data mining']"
Trainee Software Engineer DotNet Developer,Plural Technology Inc,"Hyderabad/Secunderabad, Pune",,
Software  Engineer: NET Developer,Conquerors Technologies,Hyderabad/Secunderabad,0-1 Yrs,"['Root cause analysis', 'IIS', 'MySQL', 'Manager Technology', 'MongoDB', 'WCF', 'Oracle', 'SDLC']"
AWS Trainee Engineers,Advent Global Solutions,"Anantapur, Andhra Pradesh",0-1 Yrs,"['AZURE', 'AWS', 'Google', 'database', 'Cloud', 'Training', 'Microsoft Azure', 'DBMS']"
Cloud and DevOps Architect,Adventure India Journey,"New Delhi, Delhi",8-12 Yrs,"['Cloud Computing', 'Devops', 'AWS', 'Technical Architecture', 'Solution Architecting', 'de', 'Devsecops', 'Saas Product Development']"
Software developer (Windows),Matica Technologies Ag,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",0-8 Yrs,"['Object oriented design', 'C++', 'Visual Basic', 'USB', 'Data structures', 'Windows', 'MFC', 'Visual Studio']"
Engineering Manager (  Software Product Engineering ),Our US Based MNC IT Product Client - CDK GLOBAL,Hyderabad/Secunderabad,12-16 Yrs,"['Engineering Manager', 'Technical Management', 'Scalability', 'Engineering Management', 'Technical Leadership', 'Technical Architecture', 'Product Architecture', 'Product Development']"
Manager Software Engineering,Motorola Solutions India,Bangalore/Bengaluru,6-8 Yrs,"['Cloud computing', 'TDD', 'HTML', 'HTTP', 'Troubleshooting', 'Distribution system', 'SQL', 'Capacity planning']"
"Senior Software Engineer, DevOps",Sambanova Systems,Bangalore/Bengaluru,5-8 Yrs,"['Cloud computing', 'Software design', 'github', 'Version control', 'GIT', 'orchestration', 'GCP', 'Oracle']"
Lead/Senior Software Engineer - DevOps,Splore,Bangalore/Bengaluru,8-12 Yrs,"['Cloud computing', 'Data migration', 'Postgresql', 'Social media', 'MySQL', 'Agile', 'Gaming', 'Monitoring']"
Software Engineering Manager,Microsoft,Hyderabad/Secunderabad,7-11 Yrs,"['Cloud computing', 'C++', 'orchestration', 'QOS', 'Coding', 'Javascript', 'microsoft', 'Software services']"
Software Engineering Manager - Hybrid,Our Ncr,Hyderabad/Secunderabad,5-8 Yrs,"['Product management', 'Cloud computing', 'Core Java', 'Front end', 'Linux', 'Agile', 'Windows', 'Middleware']"
"Engineer III, Software - Devops",Thermo Fisher Scientific,Bangalore/Bengaluru,5-7 Yrs,"['Devops', 'S3', 'RDS', 'Cloud computing', 'NLB', 'Github', 'Configuration management', 'VPC']"
Software Engineer III,Walmart,Bangalore/Bengaluru,3-7 Yrs,"['Computer science', 'Business services', 'Cloud computing', 'Networking', 'Coding', 'Data structures', 'Business solutions', 'Information technology']"
Software Engineer III,EA Games (Electronic Arts),Hyderabad/Secunderabad,7-10 Yrs,"['Unix', 'Cloud computing', 'Automation', 'Linux', 'Configuration management', 'Disaster recovery', 'Incident management', 'Troubleshooting']"
DOt Net Developer,Deccansoft Software,Hyderabad/Secunderabad,0-1 Yrs,"['Cloud computing', 'Technical analysis', 'jQuery', 'Web services', 'Javascript', 'ASP.Net', 'WCF', 'MVC']"
Adobe Campaign Developer,Beechi Vidya Kendra Trust,"New Delhi, Hyderabad/Secunderabad, Pune, Ahmedabad",0-1 Yrs,"['Cloud computing', 'Automation', 'Backend', 'Coding', 'Agile', 'Unit testing', 'Adobe', 'Open source']"
DataOps Engineer 3 - (DevOps),Pluralsight,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",8-13 Yrs,"['Cloud computing', 'Analytical', 'Machine learning', 'Genetics', 'Data processing', 'Data quality', 'Analytics', 'SQL']"
Software Development Engineer in Test (SDET),Harsco Environmental,Hyderabad/Secunderabad,0-3 Yrs,"['Computer science', 'Product quality', 'QA', 'NUnit', 'Automation', 'Quality engineering', 'Selenium', 'Monitoring']"
Sr HPC Cloud Engineer,Western Digital,Bangalore/Bengaluru,5-10 Yrs,"['Service delivery', 'Redhat', 'Cloud computing', 'ASIC', 'Automation', 'Architecture', 'cloud architect', 'Operations']"
Google Cloud Devops Engineer,Deutsche Bank,Pune,12-14 Yrs,"['Release Management', 'GKE', 'Cloud Spanner', 'Application deployment', 'Hazelcast', 'Kafka', 'Openshift', 'Cloud Build']"
Senior Cloud Engineer,IVY,Pune,4-7 Yrs,"['IT services', 'Cloud computing', 'Automation', 'Data analysis', 'Manager Quality Assurance', 'Project management', 'Configuration management', 'Agile']"
Cloud Engineering Track,Cloudseed Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-6 Yrs,"['Cloud computing', 'Automation', 'GCP', 'Cloud', 'Network security', 'Information technology', 'Virtualization', 'Ruby']"
Python Developer/ Software Engineer,Wipro,"Hybrid - Hyderabad, Bengaluru",4-9 Yrs,"['OOPS', 'Scripting', 'Django', 'API', 'Flask', 'Programming', 'Openshift', 'HTML']"
Senior Cloud Platform Engineer (FinOps),Alphasense,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Cloud computing', 'Data analysis', 'Excel', 'Equity research', 'Analytical', 'Market intelligence', 'Budgeting', 'Business intelligence']"
